,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,109.09253054976737,7.803715907479393,7.803715907479393,7.4753553014477765,7.4753553014477765,7.188103377236976,0.04105770894622525,0.04105770894622525,0.04105770894622525,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,3.7075751571633013,0.36775877584574423,0.36775877584574423,0.36775877584574423,0.36775877584574423,0.36133827346145625,0.0,0.0,0.0,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,2.2704102089667417,0.42447848784577047,0.42447848784577047,0.4066893725591758,0.4066893725591758,0.40414914564675325,0.0012696700429937035,0.0012696700429937035,0.0,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,67.8599424725068,9.197423773682644,9.197423773682644,8.845953165045808,8.825369265335738,8.763411026109019,0.041367522449961024,0.041367522449961024,0.041367522449961024,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2.2102147462498336,0.5450199376066314,0.5440742016541673,0.5271078374663308,0.5271078374663308,0.5176685714311263,0.006605434570621803,0.006605434570621803,0.006605434570621803,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,61.34036039436957,12.904156041367324,12.880437811272522,12.454122389769115,12.454122389769115,12.288945828792448,0.0708089235587984,0.0708089235587984,0.047148552837305416,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,499.781068196849,130.44084060801507,130.44084060801507,126.48881395164575,126.48881395164575,125.09332776181571,2.32602068561151,2.32602068561151,2.32602068561151,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,8129.511234527138,1918.451952281184,1916.8684469363452,1879.0869670359095,1879.0869670359095,1847.604623515872,14.15399248184898,14.15399248184898,12.570552599822069,30.0,0.1,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,38.618756726754604,9.750921096414979,9.750921096414979,9.392236302525305,9.392236302525305,9.257856528948786,0.13448655490777084,0.13448655490777084,0.13448655490777084,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,1.3904652249128409,0.39694499990636983,0.39663383535111685,0.385458783750232,0.385458783750232,0.37770457107895233,0.010248762541081442,0.010248762541081442,0.009936063031392574,40.0,0.2,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.5908909412654111,0.1828055739597446,0.1828055739597446,0.17681812185147402,0.17681812185147402,0.17606812769032457,0.006917478493780012,0.006917478493780012,0.006355172811297575,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,16.199980161667,4.368626872943823,4.368626872943823,4.241502356253726,4.241502356253726,4.182085674876992,0.07027533755290649,0.07027533755290649,0.0621753367240603,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,10.480328864430055,2.9671098039911192,2.9671098039911192,2.8747914479902343,2.8747914479902343,2.8378617416231533,0.052255290346510115,0.052255290346510115,0.04917892292532335,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.2756084792402268,0.09121373400126338,0.09115070692836584,0.08813551819631112,0.08813551819631112,0.08656787073581687,0.0030755528028741045,0.003012841454059638,0.0029502200747395222,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,7.76941494583834,2.2576846945049147,2.255820102970566,2.177636832822748,2.177636832822748,2.1329230485057393,0.04470235698756759,0.04470235698756759,0.04283729940217665,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,5.8455426810435,1.8474997024426778,1.8462704914674215,1.7897733829276667,1.7897733829276667,1.7590642765896982,0.041779094412841715,0.041779094412841715,0.04055297460430608,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.2204424382404273,0.07887772297924724,0.07883650774316017,0.07648828862797795,0.07648828862797795,0.07529336885665294,0.002923648342879875,0.0028415321537638696,0.0027593432379897824,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,4.551906298521432,1.4896514962825826,1.489319154767633,1.44965230511423,1.44965230511423,1.4243320077092652,0.031673173648065746,0.031673173648065746,0.03000700969284162,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.16991947802670063,0.06217824391035169,0.06213578448096331,0.059657732997493836,0.059657732997493836,0.05882178504757484,0.0022524042911578838,0.0020400736236137994,0.0019269262277525289,90.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,3.5934729088050124,1.2344260757944083,1.2333297799034149,1.1917333113236508,1.1917333113236508,1.1729144600179693,0.0278019367995581,0.027582107171670388,0.027143467497918277,100.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.13850063448582392,0.052129833129581665,0.052088399663553116,0.05014459684927064,0.05014459684927064,0.04940007719545852,0.0017795865218093075,0.0016761197430997274,0.001572679215044994,100.0,0.2,100.0
